Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number,housing_price_index
0,98575,1,142,73,13.7,0,8.2,12.3,12.3,19.2,15.1,12.3,2.7,4.1,2,290.76
1,98068,10,256,108,0,0,2.8,0,13.9,24.1,7.4,39.8,12,0,11,265.53
2,98814,6,376,217,2.3,26.7,4.6,14.3,12.4,23.5,6,10.1,0,0,0,239.77
3,98638,10,1225,493,4.3,5.1,8.9,15,13.8,21.9,14.4,10.5,2.2,3.9,0,172.13
4,98605,3,1165,417,5,5.3,15.3,8.9,12.7,24,13.9,13.4,1.4,0,2,366.78
5,98948,5,13196,3505,9.4,7.4,12.6,15.6,18.3,19.1,6.9,6.9,3.1,0.7,0,329.81
6,98828,14,2900,873,4.7,0,14.1,13.5,7.4,32.8,13.3,11,0,3.2,0,351.62
7,99001,15,6553,1363,5.6,9.9,13,14.7,13.5,21.5,13.6,7.2,1,0,2,263.09
8,98631,15,3595,1725,10.3,9.2,14.6,12.5,13.2,14.8,15.5,7.6,1.3,0.9,5,246.64
9,98439,10,5558,2030,17.2,3.8,18.8,14.2,15.8,18.4,7.7,3.5,0,0.6,0,365.54
10,98550,23,11194,4737,12.1,6,11.2,14.6,13.7,20.1,7.8,10.2,2.3,1.9,0,383.21
11,98266,10,3566,1408,14.1,5,23.1,4.6,18.1,11.4,15.8,7.8,0,0,0,309.58
12,99030,1,942,397,6.5,2.3,5.5,11.8,8.6,18.9,28.7,13.6,4,0,0,294.22
13,98591,20,3292,1448,4.6,6.7,6.8,20.2,14.9,21.7,11.3,11.5,1.4,1,0,257.47
14,99116,2,1600,687,8.4,2.9,9.8,9.8,19.4,20.1,10.8,14.8,3.9,0.1,0,378.01
15,98315,19,6046,1264,5.1,0.7,12.1,11.4,19,34.6,11.8,5.4,0,0,12,1019.37
16,98645,16,1263,465,1.1,8.2,4.1,10.1,16.8,14,20.9,15.7,9.2,0,0,352.37
17,99323,4,3594,1305,2.5,2.4,4.4,8.9,13.6,21.6,16.2,24,4,2.4,0,236.77
18,98649,3,1195,398,9.8,0,0,11.3,17.6,23.1,12.1,22.1,1.3,2.8,0,230.68
19,98582,2,403,185,17.3,13,0,0,5.9,0,29.2,34.6,0,0,0,383.82
20,98320,12,1211,544,7.2,5.7,14.7,10.1,17.6,24.1,8.5,5,3.5,3.7,0,215.61
21,99111,9,4269,1809,8.3,3,10.9,10.2,17.9,16.7,11.8,16.3,3.5,1.4,0,375.54
22,99181,3,1808,744,13.4,7.7,10.8,15.1,22,16,5.1,3.5,1.7,4.7,0,209.21
23,98571,12,639,146,0,0,0,0,32.9,43.2,0,11,0,13,0,290.76
24,98560,2,180,73,0,4.1,4.1,13.7,23.3,34.2,5.5,0,15.1,0,0,373.44
25,98845,2,231,81,2.5,6.2,7.4,14.8,19.8,34.6,8.6,1.2,2.5,2.5,0,241.95
26,98351,10,940,414,4.1,8,21.3,0,13.3,22.9,15.2,9.9,2.2,3.1,0,225.8
27,99036,11,1528,583,1.9,1.5,0.9,10.8,23,19.6,6.3,25.2,0.7,10.1,0,350.58
28,99009,15,3739,1375,10.1,2.8,10.8,6.5,7.7,25.1,18.9,12.1,1.9,4.1,0,333.58
29,98557,17,3262,1244,4.6,5,9.2,10.6,18.3,20.3,15.3,13.9,1.6,1.3,0,373.44
30,98295,9,2727,946,3.5,6.3,7,12.5,19.3,23.9,11.3,12.9,2.9,0.4,0,330.79
31,98279,24,562,276,1.1,7.2,7.2,7.2,23.9,21,5.4,15.2,6.2,5.4,1,1047.1
