zipcode,number_registration
98575.0,1
98068.0,10
98814.0,6
98638.0,10
98605.0,3
98948.0,5
98828.0,14
99001.0,15
98631.0,15
98439.0,10
98550.0,23
98266.0,10
99030.0,1
98591.0,20
99116.0,2
98315.0,19
98645.0,16
99323.0,4
98649.0,3
98582.0,2
98320.0,12
99111.0,9
99181.0,3
98571.0,12
98560.0,2
98845.0,2
98351.0,10
99036.0,11
99009.0,15
98557.0,17
98295.0,9
98279.0,24
98357.0,3
98421.0,4
98643.0,2
98548.0,21
99170.0,5
98325.0,25
99109.0,7
98542.0,3
99141.0,19
98624.0,7
98247.0,36
99320.0,31
99361.0,5
98385.0,3
98846.0,3
98595.0,8
99122.0,4
98941.0,5
98851.0,10
98936.0,11
98850.0,6
98932.0,5
98281.0,31
98663.0,111
98925.0,6
99135.0,1
99185.0,3
98537.0,6
98564.0,5
98849.0,5
99169.0,14
98951.0,7
98547.0,4
98937.0,8
98588.0,12
98823.0,27
99025.0,13
98363.0,64
99033.0,2
98651.0,15
98862.0,30
98538.0,1
99156.0,19
98251.0,27
98528.0,60
98611.0,33
98833.0,6
98443.0,31
99216.0,59
98243.0,1
98433.0,47
99133.0,3
98674.0,102
98626.0,82
98331.0,7
98648.0,35
99003.0,10
98337.0,23
98286.0,6
99180.0,3
98596.0,23
99204.0,33
99403.0,27
98360.0,102
99006.0,39
99114.0,27
98812.0,8
98620.0,22
98592.0,22
98947.0,3
99023.0,4
98239.0,106
98355.0,5
98346.0,161
98077.0,48
99027.0,27
98908.0,128
99115.0,6
98934.0,5
98446.0,59
98946.0,5
98261.0,64
98376.0,26
98801.0,169
98499.0,136
98635.0,19
99326.0,10
99337.0,112
99324.0,22
99148.0,8
99207.0,85
98831.0,23
98832.0,2
98844.0,2
98603.0,7
98601.0,16
98563.0,35
99021.0,37
99022.0,20
99217.0,56
98930.0,11
98520.0,76
98342.0,40
98380.0,56
98365.0,78
98354.0,48
98339.0,16
98383.0,197
98232.0,60
98003.0,233
98327.0,95
98252.0,50
98253.0,37
98241.0,9
98675.0,29
98375.0,163
99330.0,2
98359.0,70
99328.0,12
99206.0,113
98576.0,36
98010.0,103
98589.0,58
98264.0,103
98816.0,61
98672.0,85
98233.0,91
98236.0,121
98532.0,89
98660.0,137
98498.0,192
99037.0,60
98051.0,49
98465.0,67
98404.0,112
98524.0,46
98445.0,115
98950.0,1
98944.0,24
98002.0,125
99357.0,11
99016.0,89
98057.0,162
99163.0,99
98312.0,246
98333.0,131
98843.0,23
99005.0,52
98597.0,162
98942.0,39
98230.0,204
98847.0,10
98467.0,187
98685.0,383
98683.0,367
98270.0,275
98407.0,337
99201.0,64
99223.0,193
98338.0,173
99026.0,54
98371.0,187
98856.0,24
98155.0,539
98506.0,237
98047.0,43
99354.0,159
98903.0,38
99350.0,22
98362.0,138
98926.0,109
98072.0,865
98237.0,12
98240.0,22
98043.0,197
98134.0,85
98188.0,181
98671.0,253
98126.0,423
98684.0,230
98045.0,356
98664.0,217
98104.0,347
98102.0,434
99202.0,63
98133.0,519
98665.0,223
98802.0,123
98146.0,295
98178.0,254
98661.0,325
98902.0,63
98203.0,283
98058.0,484
98204.0,169
98030.0,210
98027.0,715
98826.0,102
98026.0,528
98148.0,102
98815.0,36
98953.0,8
98922.0,89
99004.0,78
98686.0,253
98841.0,8
98424.0,100
99203.0,165
98531.0,95
98014.0,229
98328.0,60
98332.0,333
99353.0,105
98335.0,402
98584.0,196
98340.0,44
98248.0,160
98604.0,280
98392.0,40
98349.0,38
98569.0,49
98366.0,233
99336.0,117
98372.0,187
98390.0,83
98374.0,361
98546.0,34
98382.0,272
98579.0,57
98405.0,124
98311.0,168
99344.0,20
99212.0,112
98629.0,96
98274.0,152
98271.0,194
98625.0,49
98275.0,376
98640.0,38
98632.0,181
98284.0,108
98282.0,207
99218.0,40
98292.0,179
98092.0,414
98612.0,19
99205.0,79
98294.0,62
98418.0,43
98444.0,95
98409.0,157
98006.0,873
98052.0,1073
98087.0,353
98070.0,357
98075.0,781
98055.0,295
99362.0,169
99349.0,7
98074.0,857
99352.0,284
98005.0,655
98004.0,918
98059.0,692
98065.0,481
98053.0,771
98056.0,540
98038.0,510
99338.0,159
98023.0,384
99208.0,223
