,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
0,1209,99119,501.0,10.2,3.4,11.4,14.2,18.8,12.0,12.2,11.0,3.8,3.2
1,209,99128,82.0,3.7,8.5,14.6,4.9,7.3,28.0,9.8,20.7,1.2,1.2
2,5140,99141,2143.0,4.9,6.5,11.1,15.9,14.8,24.5,11.6,8.2,1.8,0.8
3,180,99149,88.0,11.4,13.6,17.0,14.8,28.4,9.1,0.0,4.5,1.1,0.0
4,390,99153,232.0,11.6,6.0,12.9,18.5,13.8,9.5,20.3,5.2,2.2,0.0
5,8122,99156,3416.0,10.5,7.9,12.6,13.5,13.1,20.1,12.2,6.1,2.9,1.0
6,938,99171,475.0,6.7,7.4,15.8,12.2,9.9,27.8,6.3,8.2,2.3,3.4
7,34174,98155,13261.0,4.1,3.2,8.0,5.3,9.2,18.3,15.0,19.8,8.9,8.1
8,538,99103,223.0,4.0,2.7,12.6,10.3,16.6,23.3,13.0,15.2,1.8,0.4
9,33822,99163,11300.0,19.2,9.3,15.2,10.8,10.2,10.3,9.5,8.6,3.7,3.3
10,3491,99343,780.0,0.1,4.0,14.0,15.5,5.8,26.7,23.8,6.8,0.8,2.6
11,4744,99003,1977.0,5.7,3.4,8.2,7.4,13.8,21.6,15.2,15.3,6.7,2.7
12,787,99012,333.0,3.0,8.1,9.6,10.5,19.2,18.9,9.9,14.1,6.0,0.6
13,13634,99016,5092.0,5.0,7.9,7.0,13.1,9.1,24.7,10.9,13.5,4.6,4.3
14,3174,99166,1375.0,12.9,9.7,13.5,6.5,16.7,14.5,14.1,9.2,2.8,0.1
15,183,99176,73.0,19.2,6.8,4.1,2.7,11.0,21.9,9.6,20.5,4.1,0.0
16,547,99179,215.0,1.9,0.0,6.5,8.4,8.8,23.3,31.6,11.6,7.9,0.0
