index,year,month,week,Postal Code,sale
53472.0,2022,8,34,98206.0,1
53195.0,2022,8,32,98950.0,1
53025.0,2022,8,31,99330.0,1
53212.0,2022,8,32,99330.0,2
52814.0,2022,8,31,80925.0,1
52459.0,2022,7,29,17050.0,1
52339.0,2022,7,28,98283.0,1
52322.0,2022,7,28,98243.0,1
52229.0,2022,7,28,72205.0,1
52228.0,2022,7,28,28376.0,1
52022.0,2022,7,26,98538.0,1
51775.0,2022,6,26,1731.0,1
51628.0,2022,6,25,82801.0,1
51448.0,2022,6,23,99135.0,1
50623.0,2022,5,19,20003.0,1
50451.0,2022,5,18,21113.0,1
50265.0,2022,4,17,20105.0,1
50126.0,2022,4,16,80111.0,1
49922.0,2022,4,15,33040.0,1
49150.0,2022,3,11,36106.0,1
49124.0,2022,3,10,98832.0,1
52994.0,2022,8,31,98832.0,2
48959.0,2022,3,10,33547.0,1
48958.0,2022,3,10,1824.0,1
48427.0,2022,2,6,99030.0,1
47865.0,2022,1,3,98582.0,1
48591.0,2022,2,7,98582.0,2
47726.0,2022,1,3,20906.0,1
49760.0,2022,4,14,20906.0,2
47514.0,2022,1,1,98575.0,1
47376.0,2022,1,1,96349.0,1
47375.0,2022,1,1,22193.0,1
47359.0,2021,12,52,99119.0,1
47179.0,2021,12,51,98952.0,1
47043.0,2021,12,51,68130.0,1
46808.0,2021,12,49,98556.0,1
46664.0,2021,12,49,84129.0,1
46125.0,2021,11,46,30809.0,1
45915.0,2021,11,45,66027.0,1
45782.0,2021,11,44,94901.0,1
45591.0,2021,10,43,93001.0,1
52460.0,2022,7,29,93001.0,2
45454.0,2021,10,42,92585.0,1
50452.0,2022,5,18,92585.0,2
45453.0,2021,10,42,80501.0,1
45452.0,2021,10,42,60035.0,1
45451.0,2021,10,42,45243.0,1
45441.0,2021,10,41,99034.0,1
45114.0,2021,10,40,76566.0,1
45113.0,2021,10,40,76180.0,1
45100.0,2021,10,39,98647.0,1
44882.0,2021,9,39,22153.0,1
44869.0,2021,9,38,99138.0,1
46559.0,2021,11,48,99138.0,2
44710.0,2021,9,38,29404.0,1
44582.0,2021,9,37,6340.0,1
49648.0,2022,4,13,6340.0,2
44442.0,2021,9,36,60077.0,1
44441.0,2021,9,36,20854.0,1
44440.0,2021,9,36,20619.0,1
44314.0,2021,8,35,99345.0,1
43908.0,2021,8,33,93401.0,1
43748.0,2021,8,32,96813.0,1
43747.0,2021,8,32,94556.0,1
43733.0,2021,8,31,99147.0,1
43557.0,2021,8,31,66441.0,1
43556.0,2021,8,31,19034.0,1
43361.0,2021,7,30,94707.0,1
43151.0,2021,7,29,75068.0,1
43150.0,2021,7,29,23703.0,1
43124.0,2021,7,28,98844.0,1
52996.0,2022,8,31,98844.0,2
42961.0,2021,7,28,92675.0,1
42960.0,2021,7,28,27534.0,1
42959.0,2021,7,28,21224.0,1
