index,year,month,week,Zip Code,sale,Clean Alternative Fuel Vehicle Type
62292.0,2022,8,34,98206.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
61949.0,2022,8,32,98950.0,1,Battery Electric Vehicle (BEV)
61738.0,2022,8,31,99330.0,1,Battery Electric Vehicle (BEV)
61967.0,2022,8,32,99330.0,2,Battery Electric Vehicle (BEV)
61483.0,2022,8,31,80925.0,1,Battery Electric Vehicle (BEV)
61063.0,2022,7,29,17050.0,1,Battery Electric Vehicle (BEV)
60920.0,2022,7,28,98283.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
60900.0,2022,7,28,98243.0,1,Battery Electric Vehicle (BEV)
60783.0,2022,7,28,72205.0,1,Battery Electric Vehicle (BEV)
60782.0,2022,7,28,28376.0,1,Battery Electric Vehicle (BEV)
60548.0,2022,7,26,98538.0,1,Battery Electric Vehicle (BEV)
60250.0,2022,6,26,1731.0,1,Battery Electric Vehicle (BEV)
60064.0,2022,6,25,82801.0,1,Battery Electric Vehicle (BEV)
59842.0,2022,6,23,99135.0,1,Battery Electric Vehicle (BEV)
58753.0,2022,5,19,20003.0,1,Battery Electric Vehicle (BEV)
58543.0,2022,5,18,21113.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
58317.0,2022,4,17,20105.0,1,Battery Electric Vehicle (BEV)
58145.0,2022,4,16,80111.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
57895.0,2022,4,15,33040.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
56951.0,2022,3,11,36106.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
56925.0,2022,3,10,98832.0,1,Battery Electric Vehicle (BEV)
61706.0,2022,8,31,98832.0,2,Battery Electric Vehicle (BEV)
56706.0,2022,3,10,33547.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
56705.0,2022,3,10,1824.0,1,Battery Electric Vehicle (BEV)
56069.0,2022,2,6,99030.0,1,Battery Electric Vehicle (BEV)
55388.0,2022,1,3,98582.0,1,Battery Electric Vehicle (BEV)
56275.0,2022,2,7,98582.0,2,Battery Electric Vehicle (BEV)
55227.0,2022,1,3,20906.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
57693.0,2022,4,14,20906.0,2,Battery Electric Vehicle (BEV)
54964.0,2022,1,1,98575.0,1,Battery Electric Vehicle (BEV)
54785.0,2022,1,1,96349.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
54784.0,2022,1,1,22193.0,1,Battery Electric Vehicle (BEV)
54765.0,2021,12,52,99119.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
54570.0,2021,12,51,98952.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
54406.0,2021,12,51,68130.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
54112.0,2021,12,49,98556.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
53932.0,2021,12,49,84129.0,1,Battery Electric Vehicle (BEV)
53293.0,2021,11,46,30809.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
53031.0,2021,11,45,66027.0,1,Battery Electric Vehicle (BEV)
52871.0,2021,11,44,94901.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
52636.0,2021,10,43,93001.0,1,Battery Electric Vehicle (BEV)
61064.0,2022,7,29,93001.0,2,Battery Electric Vehicle (BEV)
52469.0,2021,10,42,92585.0,1,Battery Electric Vehicle (BEV)
58544.0,2022,5,18,92585.0,2,Battery Electric Vehicle (BEV)
52468.0,2021,10,42,80501.0,1,Battery Electric Vehicle (BEV)
52467.0,2021,10,42,60035.0,1,Battery Electric Vehicle (BEV)
52466.0,2021,10,42,45243.0,1,Battery Electric Vehicle (BEV)
52452.0,2021,10,41,99034.0,1,Battery Electric Vehicle (BEV)
52038.0,2021,10,40,76566.0,1,Battery Electric Vehicle (BEV)
52037.0,2021,10,40,76180.0,1,Battery Electric Vehicle (BEV)
52024.0,2021,10,39,98647.0,1,Battery Electric Vehicle (BEV)
51768.0,2021,9,39,22153.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
51754.0,2021,9,38,99138.0,1,Battery Electric Vehicle (BEV)
53810.0,2021,11,48,99138.0,2,Battery Electric Vehicle (BEV)
51582.0,2021,9,38,29404.0,1,Battery Electric Vehicle (BEV)
51429.0,2021,9,37,6340.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
57572.0,2022,4,13,6340.0,2,Battery Electric Vehicle (BEV)
51269.0,2021,9,36,60077.0,1,Battery Electric Vehicle (BEV)
51268.0,2021,9,36,20854.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
51267.0,2021,9,36,20619.0,1,Battery Electric Vehicle (BEV)
51116.0,2021,8,35,99345.0,1,Battery Electric Vehicle (BEV)
50646.0,2021,8,33,93401.0,1,Battery Electric Vehicle (BEV)
50456.0,2021,8,32,96813.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
50455.0,2021,8,32,94556.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
50438.0,2021,8,31,99147.0,1,Battery Electric Vehicle (BEV)
50214.0,2021,8,31,66441.0,1,Battery Electric Vehicle (BEV)
50213.0,2021,8,31,19034.0,1,Battery Electric Vehicle (BEV)
49973.0,2021,7,30,94707.0,1,Battery Electric Vehicle (BEV)
49717.0,2021,7,29,75068.0,1,Battery Electric Vehicle (BEV)
49716.0,2021,7,29,23703.0,1,Battery Electric Vehicle (BEV)
49687.0,2021,7,28,98844.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
61708.0,2022,8,31,98844.0,2,Battery Electric Vehicle (BEV)
49483.0,2021,7,28,92675.0,1,Battery Electric Vehicle (BEV)
49482.0,2021,7,28,27534.0,1,Battery Electric Vehicle (BEV)
49481.0,2021,7,28,21224.0,1,Battery Electric Vehicle (BEV)
49445.0,2021,7,27,98609.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
49295.0,2021,7,27,92620.0,1,Battery Electric Vehicle (BEV)
49294.0,2021,7,27,81082.0,1,Battery Electric Vehicle (BEV)
49111.0,2021,7,26,30013.0,1,Battery Electric Vehicle (BEV)
48960.0,2021,6,26,2842.0,1,Battery Electric Vehicle (BEV)
48699.0,2021,6,25,85138.0,1,Battery Electric Vehicle (BEV)
48698.0,2021,6,25,54874.0,1,Battery Electric Vehicle (BEV)
48697.0,2021,6,25,33327.0,1,Battery Electric Vehicle (BEV)
48597.0,2021,6,24,98267.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
48485.0,2021,6,24,60613.0,1,Battery Electric Vehicle (BEV)
48296.0,2021,6,23,20677.0,1,Battery Electric Vehicle (BEV)
48292.0,2021,6,22,99347.0,1,Plug-in Hybrid Electric Vehicle (PHEV)
