City,Regular,Mid,Premium,Disel
Bellingham,$4.650,$4.930,$5.029,$5.589
Bremerton,$4.662,$4.807,$5.009,$5.623
Clarkson,$4.469,$4.699,$4.799,$5.399
Longview,$4.915,$5.072,$5.235,$5.736
Mount Vernon-Anacortes,$4.558,$4.752,$4.915,$5.467
Olympia,$4.920,$5.154,$5.290,$5.788
Richland-Kennewick-Pasco,$4.511,$4.786,$5.027,$5.606
Seattle-Bellevue-Everett,$5.021,$5.236,$5.408,$5.834
Spokane,$4.485,$4.716,$4.916,$5.662
Tacoma,$4.856,$5.052,$5.249,$5.742
Vancouver,$4.844,$5.035,$5.201,$5.646
Walla Walla,$4.694,$4.888,$5.126,$5.740
Wenatchee,$4.593,$4.712,$4.914,$5.622
Yakima,$4.675,$4.922,$5.125,$5.614
